,end,val,accn,fy,fp,form,filed,frame,fact,start
4,2010-01-31,188241000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccountsPayableCurrent,
14,2011-01-30,227963000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccountsPayableCurrent,
25,2012-01-29,218329000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccountsPayableCurrent,
36,2013-02-03,259162000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccountsPayableCurrent,
47,2014-02-02,404791000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccountsPayableCurrent,
58,2015-02-01,397037000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccountsPayableCurrent,
69,2016-01-31,447412000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccountsPayableCurrent,
80,2017-01-29,453710000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccountsPayableCurrent,
91,2018-01-28,457144000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccountsPayableCurrent,
102,2019-02-03,526702000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccountsPayableCurrent,
113,2020-02-02,521235000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccountsPayableCurrent,
124,2021-01-31,542992000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccountsPayableCurrent,
135,2022-01-30,612512000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccountsPayableCurrent,
4,2010-01-31,48260000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccruedIncomeTaxesCurrent,
14,2011-01-30,41997000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccruedIncomeTaxesCurrent,
25,2012-01-29,22435000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccruedIncomeTaxesCurrent,
36,2013-02-03,41849000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccruedIncomeTaxesCurrent,
47,2014-02-02,49365000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccruedIncomeTaxesCurrent,
58,2015-02-01,32488000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccruedIncomeTaxesCurrent,
69,2016-01-31,67052000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccruedIncomeTaxesCurrent,
80,2017-01-29,23245000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccruedIncomeTaxesCurrent,
91,2018-01-28,56783000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccruedIncomeTaxesCurrent,
102,2019-02-03,21461000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccruedIncomeTaxesCurrent,
113,2020-02-02,22501000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccruedIncomeTaxesCurrent,
124,2021-01-31,69476000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccruedIncomeTaxesCurrent,
135,2022-01-30,79554000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccruedIncomeTaxesCurrent,
4,2010-01-31,107710000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccruedLiabilitiesCurrent,
14,2011-01-30,122440000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccruedLiabilitiesCurrent,
25,2012-01-29,111774000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccruedLiabilitiesCurrent,
36,2013-02-03,120632000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccruedLiabilitiesCurrent,
47,2014-02-02,138181000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccruedLiabilitiesCurrent,
58,2015-02-01,136012000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccruedLiabilitiesCurrent,
69,2016-01-31,127122000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccruedLiabilitiesCurrent,
80,2017-01-29,130187000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccruedLiabilitiesCurrent,
91,2018-01-28,134207000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccruedLiabilitiesCurrent,
102,2019-02-03,163559000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccruedLiabilitiesCurrent,
113,2020-02-02,175003000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccruedLiabilitiesCurrent,
124,2021-01-31,267592000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccruedLiabilitiesCurrent,
135,2022-01-30,319924000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccruedLiabilitiesCurrent,
0,2011-01-30,1127493000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
2,2012-01-29,1199805000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
4,2013-02-03,1282905000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
6,2014-02-02,1382475000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
8,2015-02-01,1386465000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
10,2016-01-31,1454307000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
12,2017-01-29,1586039000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
14,2018-01-28,1686829000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
16,2019-02-03,1812767000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
18,2020-02-02,1883350000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
20,2021-01-31,1953975000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
22,2022-01-30,2062335000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
23,2023-01-29,2154009000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
2,2010-01-31,10387000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
10,2011-01-30,12990000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
21,2012-01-29,12590000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
32,2013-02-03,13633000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
43,2014-02-02,6524000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
4,2015-02-01,-2548000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
14,2016-01-31,-10616000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
25,2017-01-29,-9903000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
36,2018-01-28,-6782000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
47,2019-02-03,-11073000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
58,2020-02-02,-14587000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
69,2021-01-31,-7117000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
80,2022-01-30,-10828000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
4,2010-01-31,448848000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AdditionalPaidInCapital,
14,2011-01-30,466885000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AdditionalPaidInCapital,
25,2012-01-29,478720000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AdditionalPaidInCapital,
36,2013-02-03,503616000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AdditionalPaidInCapital,
47,2014-02-02,522595000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AdditionalPaidInCapital,
58,2015-02-01,527261000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AdditionalPaidInCapital,
69,2016-01-31,541307000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AdditionalPaidInCapital,
80,2017-01-29,556928000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AdditionalPaidInCapital,
91,2018-01-28,562814000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AdditionalPaidInCapital,
102,2019-02-03,581900000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AdditionalPaidInCapital,
113,2020-02-02,605822000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AdditionalPaidInCapital,
124,2021-01-31,638375000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AdditionalPaidInCapital,
135,2022-01-30,600942000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AdditionalPaidInCapital,
0,2010-01-31,-3621000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2009-02-02
1,2011-01-30,17918000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2010-02-01
3,2012-01-29,11656000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2011-01-31
6,2013-02-03,18637000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2012-01-30
8,2014-02-02,18096000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2013,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2013-02-04
0,2009-02-01,12131000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2008-02-04
2,2010-01-31,24989000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2009-02-02
5,2011-01-30,26630000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2010-02-01
8,2012-01-29,24336000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2011-01-31
11,2013-02-03,31042000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2012-02-01
14,2014-02-02,38788000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2013-02-04
17,2015-02-01,44632000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2014-02-03
20,2016-01-31,41357000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2015-02-02
23,2017-01-29,51054000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2016-02-01
24,2018-01-28,42768000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2017-01-29
35,2019-02-03,59428000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2018-01-29
50,2020-02-02,63590000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2019-02-04
65,2021-01-31,72186000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2020-02-03
79,2022-01-30,93459000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2021-02-01
89,2023-01-29,89578000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2022-01-31
0,2010-01-31,264963000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,AdvertisingExpense,2009-02-02
2,2011-01-30,293623000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,AdvertisingExpense,2010-02-01
5,2012-01-29,301316000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,AdvertisingExpense,2011-01-31
8,2013-02-03,318338000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,AdvertisingExpense,2012-02-01
11,2014-02-02,325708000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,AdvertisingExpense,2013-02-04
14,2015-02-01,330070000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,AdvertisingExpense,2014-02-03
15,2016-01-29,347474000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2015,AdvertisingExpense,2015-02-01
21,2017-01-29,382206000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,AdvertisingExpense,2016-02-01
22,2018-01-28,382206000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,AdvertisingExpense,2017-01-29
26,2019-02-03,390115000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,AdvertisingExpense,2018-01-29
29,2020-02-02,388194000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,AdvertisingExpense,2019-02-04
32,2021-01-31,326000000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,AdvertisingExpense,2020-02-03
34,2022-01-30,618500000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,AdvertisingExpense,2021-02-01
35,2023-01-29,581100000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,AdvertisingExpense,2022-01-31
0,2014-02-02,25382000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,AmortizationOfLeaseIncentives,2013-02-04
2,2015-02-01,24419000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,AmortizationOfLeaseIncentives,2014-02-03
8,2016-01-31,24721000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,AmortizationOfLeaseIncentives,2015-02-02
17,2017-01-29,25212000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,AmortizationOfLeaseIncentives,2016-02-01
26,2018-01-28,-25372000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,AmortizationOfLeaseIncentives,2017-01-29
35,2019-02-03,-26199000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,AmortizationOfLeaseIncentives,2018-01-29
44,2020-02-02,-7714000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019,AmortizationOfLeaseIncentives,2019-02-04
50,2021-01-31,-5783000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2020,AmortizationOfLeaseIncentives,2020-02-03
0,2010-01-31,2684000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2009-02-02
6,2011-01-30,1488000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2010-02-01
18,2012-01-29,1743000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2011-01-31
31,2013-02-03,1313000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2012-02-01
42,2014-02-02,0.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2013-02-04
55,2015-02-01,21000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2014-02-03
68,2016-01-31,12000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2015-02-02
81,2017-01-29,261000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2016-02-01
92,2018-01-28,577000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2017-01-29
107,2019-02-03,31000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2018-01-29
120,2020-02-02,46000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2019-02-04
132,2021-01-31,9000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2020-02-03
138,2022-01-30,6000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2021,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2021-02-01
0,2009-02-01,35449000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2008,AssetImpairmentCharges,2008-02-04
4,2010-01-31,30533000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,AssetImpairmentCharges,2009-02-02
12,2011-01-30,5453000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010,AssetImpairmentCharges,2010-02-01
20,2012-01-29,840000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011,AssetImpairmentCharges,2011-01-31
24,2013-02-03,6071000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2012,AssetImpairmentCharges,2012-01-30
26,2022-01-30,0.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,AssetImpairmentCharges,2021-02-01
5,2010-01-31,2079169000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009Q4I,Assets,
16,2011-01-30,2131762000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2010Q4I,Assets,
28,2012-01-29,2060838000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2011Q4I,Assets,
40,2013-02-03,2187679000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2012Q4I,Assets,
52,2014-02-02,2336734000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013Q4I,Assets,
64,2015-02-01,2330277000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014Q4I,Assets,
76,2016-01-31,2417427000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015Q4I,Assets,
88,2017-01-29,2476879000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016Q4I,Assets,
99,2018-01-28,2785749000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,Assets,
110,2019-02-03,2812844000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,Assets,
121,2020-02-02,4054042000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,Assets,
132,2021-01-31,4661424000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,Assets,
143,2022-01-30,4625620000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,Assets,
4,2010-01-31,1180193000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AssetsCurrent,
14,2011-01-30,1347594000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AssetsCurrent,
25,2012-01-29,1276366000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AssetsCurrent,
36,2013-02-03,1316772000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AssetsCurrent,
47,2014-02-02,1419103000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AssetsCurrent,
58,2015-02-01,1391923000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AssetsCurrent,
69,2016-01-31,1336100000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AssetsCurrent,
80,2017-01-29,1367180000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AssetsCurrent,
91,2018-01-28,1636445000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AssetsCurrent,
102,2019-02-03,1694343000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AssetsCurrent,
113,2020-02-02,1755635000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AssetsCurrent,
124,2021-01-31,2467080000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AssetsCurrent,
135,2022-01-30,2323894000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AssetsCurrent,
0,2011-11-01,25657000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3I,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,
0,2011-11-01,180000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3I,BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,
0,2011-11-01,5089000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3I,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,
0,2011-11-01,18089000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3I,BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,
0,2011-11-01,2984000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3I,BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,
0,2011-11-01,4718000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q3I,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,
0,2018-01-28,6200000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2017,BusinessCombinationAcquisitionRelatedCosts,2017-01-30
0,2010-01-31,7580000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2009,BusinessExitCosts,2009-02-02
2,2010-08-01,-400000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q2,BusinessExitCosts,2010-05-03
5,2011-01-30,-400000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010,BusinessExitCosts,2010-02-01
0,2014-02-02,9034000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2013,CapitalExpendituresIncurredButNotYetPaid,2013-02-04
2,2015-02-01,4808000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2014,CapitalExpendituresIncurredButNotYetPaid,2014-02-03
5,2016-01-31,2715000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2015,CapitalExpendituresIncurredButNotYetPaid,2015-02-02
8,2017-01-29,625000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2016,CapitalExpendituresIncurredButNotYetPaid,2016-02-01
9,2018-01-28,1257000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2017,CapitalExpendituresIncurredButNotYetPaid,2017-01-29
14,2019-02-03,2773000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2018,CapitalExpendituresIncurredButNotYetPaid,2018-01-29
17,2020-02-02,2386000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2019,CapitalExpendituresIncurredButNotYetPaid,2019-02-04
20,2021-01-31,753000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2020,CapitalExpendituresIncurredButNotYetPaid,2020-02-03
22,2022-01-30,267000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021,CapitalExpendituresIncurredButNotYetPaid,2021-02-01
23,2023-01-29,6633000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022,CapitalExpendituresIncurredButNotYetPaid,2022-01-31
0,2011-01-30,334000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,CapitalLeaseObligations,
1,2012-01-29,349000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,CapitalLeaseObligations,
